modelo,tempo (s),f1_score,preprocessamento,balanceamento,analytics vidhya,embedding_size,método_balanceamento
modelo1,218606,0.9684587713623185,False,False,0.69781,200,EDA
modelo1,184524,0.9850042145941377,False,True,0.66666,200,EDA
modelo1,143435,0.9645733495178336,True,False,0.67845,200,EDA
modelo1,273849,0.9983226184727015,True,True,0.35794,200,EDA
modelo2,203682,0.9529144455819099,False,False,0.68945,200,EDA
modelo2,189994,0.9880892455536519,False,True,0.65158,200,EDA
modelo2,132919,0.9509024765016936,True,False,0.68452,200,EDA
modelo2,383877,0.9983227733094302,True,True,0.33183,200,EDA
modelo3,161265,0.9635298509309439,False,False,0.69921,200,EDA
modelo3,203284,0.9884929746764065,False,True,0.67851,200,EDA
modelo3,115991,0.9637572222926593,True,False,0.69078,200,EDA
modelo3,324226,0.9986023759608665,True,True,0.35398,200,EDA
modelo4,203865,0.9635737507145153,False,False,0.70414,200,EDA
modelo4,264088,0.9892982009886664,False,True,0.65361,200,EDA
modelo4,143863,0.9559709716498939,True,False,0.70967,200,EDA
modelo4,324103,0.9987421091468393,True,True,0.31192,200,EDA
modelo5,203605,0.960887979019923,False,False,0.70499,200,EDA
modelo5,230581,0.9899656479225496,False,True,0.62934,200,EDA
modelo5,128827,0.9578488336022742,True,False,0.68571,200,EDA
modelo5,282378,0.997903128861097,True,True,0.33777,200,EDA
modelo6,130968,0.9658936011405762,False,False,0.70137,200,EDA
modelo6,264551,0.9874400392586217,False,True,0.63123,200,EDA
modelo6,119635,0.9636297013204111,True,False,0.70358,200,EDA
modelo6,384473,0.998602441066918,True,True,0.28517,200,EDA
