modelo,tempo (s),f1_score,preprocessamento,balanceamento,analytics vidhya,embedding_size,método_balanceamento
modelo1,278558,0.9654,False,False,0.69448,300,ROS
modelo1,383708,0.9938,False,True,0.72085,300,ROS
modelo1,178524,0.9638,True,False,0.69677,300,ROS
modelo1,383858,0.9919,True,True,0.74107,300,ROS
modelo2,263648,0.9628,False,False,0.70326,300,ROS
modelo2,391664,0.9929,False,True,0.71794,300,ROS
modelo2,186408,0.9583,True,False,0.71826,300,ROS
modelo2,347687,0.9946,True,True,0.70245,300,ROS
modelo3,174232,969,False,False,0.70440,300,ROS
modelo3,403032,0.9955,False,True,0.73701,300,ROS
modelo3,193.6,0.9555,True,False,0.7,300,ROS
modelo3,358694,0.9953,True,True,0.69440,300,ROS
modelo4,171004,0.9683,False,False,0.70759,300,ROS
modelo4,504.12,0.9956,False,True,0.69551,300,ROS
modelo4,150749,962,True,False,0.71320,300,ROS
modelo4,384026,0.9961,True,True,0.71542,300,ROS
modelo5,263521,0.9521,False,False,0.69553,300,ROS
modelo5,323.79,0.9946,False,True,0.71090,300,ROS
modelo5,181299,0.9517,True,False,0.68759,300,ROS
modelo5,443806,0.9935,True,True,0.70087,300,ROS
modelo6,264052,0.9664,False,False,0.69579,300,ROS
modelo6,324.38,993,False,True,0.72455,300,ROS
modelo6,153972,0.9635,True,False,0.70820,300,ROS
modelo6,324324,0.9907,True,True,0.67482,300,ROS
