modelo,tempo (s),f1_score,preprocessamento,balanceamento,analytics vidhya,embedding_size,método_balanceamento
modelo1,157.87,0.9655,False,False,0.71493,200,ROS
modelo1,303267,0.9936,False,True,0.71681,200,ROS
modelo1,121972,0.9636,True,False,0.69983,200,ROS
modelo1,323555,0.9923,True,True,0.73421,200,ROS
modelo2,141372,0.9594,False,False,0.69794,200,ROS
modelo2,263856,0.9952,False,True,0.71036,200,ROS
modelo2,126175,0.9507,True,False,0.69277,200,ROS
modelo2,235373,0.9961,True,True,0.71264,200,ROS
modelo3,203867,0.9651,False,False,0.70418,200,ROS
modelo3,331108,0.9915,False,True,0.72296,200,ROS
modelo3,144059,0.9624,True,False,0.69400,200,ROS
modelo3,296978,0.9966,True,True,0.70297,200,ROS
modelo4,144904,0.9601,False,False,0.71301,200,ROS
modelo4,317923,0.9963,False,True,0.70329,200,ROS
modelo4,126869,0.9664,True,False,0.68954,200,ROS
modelo4,263996,0.9944,True,True,0.70125,200,ROS
modelo5,143512,0.9636,False,False,0.70322,200,ROS
modelo5,256.67,0.9954,False,True,0.73101,200,ROS
modelo5,143502,0.9564,True,False,0.69710,200,ROS
modelo5,181623,0.9954,True,True,0.718266,200,ROS
modelo6,203972,0.9649,False,False,0.69375,200,ROS
modelo6,384293,0.9942,False,True,0.70137,200,ROS
modelo6,143943,0.9626,True,False,0.70364,200,ROS
modelo6,249872,0.9956,True,True,0.70759,200,ROS
