modelo,tempo (s),f1_score,preprocessamento,balanceamento,embedding_size,método_balanceamento,analytics_vidhya
modelo1,239464.0,0.9678,False,False,300,EDA,0.70783
modelo1,184524.0,0.985,False,True,200,EDA,0.66666
modelo1,143435.0,0.9645,True,False,200,EDA,0.67845
modelo1,273849.0,0.9983,True,True,200,EDA,0.35794
modelo2,203682.0,0.9529,False,False,200,EDA,0.68945
modelo2,189994.0,0.988,False,True,200,EDA,0.65158
modelo2,132919.0,0.9509,True,False,200,EDA,0.68452
modelo2,383877.0,0.9983,True,True,200,EDA,0.33183
modelo3,161265.0,0.9635,False,False,200,EDA,0.69921
modelo3,203284.0,0.9884,False,True,200,EDA,0.67851
modelo3,115991.0,0.9637,True,False,200,EDA,0.69078
modelo3,324226.0,0.9986,True,True,200,EDA,0.35398
modelo4,203865.0,0.9635,False,False,200,EDA,0.70414
modelo4,264088.0,0.9892,False,True,200,EDA,0.65361
modelo4,143863.0,0.9559,True,False,200,EDA,0.70967
modelo4,324103.0,0.9987,True,True,200,EDA,0.31192
modelo5,203605.0,0.9608,False,False,200,EDA,0.70499
modelo5,230581.0,0.9899,False,True,200,EDA,0.62934
modelo5,128827.0,0.9578,True,False,200,EDA,0.68571
modelo5,282378.0,0.9979,True,True,200,EDA,0.33777
modelo6,130968.0,0.9658,False,False,200,EDA,0.70137
modelo6,264551.0,0.9874,False,True,200,EDA,0.63123
modelo1,218606.0,0.9684,False,False,200,EDA,0.69781
modelo6,119635.0,0.9636,True,False,200,EDA,0.70358
modelo6,384473.0,0.9986,True,True,200,EDA,0.28517
modelo5,384178.0,0.9886,False,True,300,EDA,0.62996
modelo6,204396.0,0.9605,True,False,300,EDA,0.68211
modelo6,529912.0,0.999,True,True,300,EDA,0.29302
modelo6,324739.0,0.99,False,True,300,EDA,0.65793
modelo6,204491.0,0.964,False,False,300,EDA,0.68543
modelo5,384016.0,0.9983,True,True,300,EDA,0.32808
modelo5,198278.0,0.963,True,False,300,EDA,0.68863
modelo5,203.87,0.9639,False,False,300,EDA,0.71589
modelo4,444358.0,0.9966,True,True,300,EDA,0.27334
modelo4,264414.0,0.9539,True,False,300,EDA,0.70304
modelo4,264141.0,0.9584,False,False,300,EDA,0.71236
modelo4,366161.0,0.9902,False,True,300,EDA,0.62468
modelo3,214742.0,0.9569,True,False,300,EDA,0.70716
modelo3,379403.0,0.9868,False,True,300,EDA,0.62179
modelo3,238459.0,0.9637,False,False,300,EDA,0.6948
modelo2,436249.0,0.9976,True,True,300,EDA,0.38543
modelo2,203988.0,0.9615,True,False,300,EDA,0.70987
modelo2,433367.0,0.9881,False,True,300,EDA,0.6706
modelo2,264104.0,0.963,False,False,300,EDA,0.7044
modelo1,503997.0,0.9982,True,True,300,EDA,0.32272
modelo1,198016.0,0.9591,True,False,300,EDA,0.69745
modelo1,384001.0,0.9881,False,True,300,EDA,0.64646
modelo3,264011.0,0.9978,True,True,300,EDA,0.3
modelo5,143502.0,0.9564,True,False,200,ROS,0.6971
modelo4,263996.0,0.9944,True,True,200,ROS,0.70125
modelo5,143512.0,0.9636,False,False,200,ROS,0.70322
modelo5,256.67,0.9954,False,True,200,ROS,0.73101
modelo5,181623.0,0.9954,True,True,200,ROS,0.718266
modelo1,383708.0,0.9938,False,True,300,ROS,0.72085
